AÑO_INSCRIPCION,MES_INSCRIPCION,COD_SEXO,COD_HECHO,COD_INSCRIPCION_1,COD_INSCRIPCION_2,UBIGEO_L,UBIGEO_INEI_L,DEPA_CONT_L,PROV_PAIS_L,DIST_CIUD_L,Nacional_L,CANTIDAD
2026,Enero,No aplica,Matrimonio,Ordinaria,Inscripción,010101,010101,Amazonas,Chachapoyas,Chachapoyas,Nacional,14
2026,Enero,No aplica,Matrimonio,Ordinaria,Inscripción,010109,010109,Amazonas,Chachapoyas,La Jalca,Nacional,1
2026,Enero,No aplica,Matrimonio,Ordinaria,Inscripción,010115,010115,Amazonas,Chachapoyas,Montevideo,Nacional,1
2026,Enero,No aplica,Matrimonio,Ordinaria,Inscripción,010201,010206,Amazonas,Bagua,La Peca,Nacional,2
2026,Enero,No aplica,Matrimonio,Ordinaria,Inscripción,010202,010202,Amazonas,Bagua,Aramango,Nacional,1
2026,Enero,No aplica,Matrimonio,Ordinaria,Inscripción,010204,010204,Amazonas,Bagua,El Parco,Nacional,2
2026,Enero,No aplica,Matrimonio,Ordinaria,Inscripción,010301,010301,Amazonas,Bongará,Jumbilla,Nacional,1
2026,Enero,No aplica,Matrimonio,Ordinaria,Inscripción,010303,010305,Amazonas,Bongará,Cuispes,Nacional,1
2026,Enero,No aplica,Matrimonio,Ordinaria,Inscripción,010306,010306,Amazonas,Bongará,Florida,Nacional,1
2026,Enero,No aplica,Matrimonio,Ordinaria,Inscripción,010312,010307,Amazonas,Bongará,Jazan,Nacional,1
2026,Enero,No aplica,Matrimonio,Ordinaria,Inscripción,010402,010502,Amazonas,Luya,Camporredondo,Nacional,1
2026,Enero,No aplica,Matrimonio,Ordinaria,Inscripción,010412,010512,Amazonas,Luya,Ocalli,Nacional,1
2026,Enero,No aplica,Matrimonio,Ordinaria,Inscripción,010501,010601,Amazonas,Rodríguez de Mendoza,San Nicolás,Nacional,1
2026,Enero,No aplica,Matrimonio,Ordinaria,Inscripción,010504,010604,Amazonas,Rodríguez de Mendoza,Huambo,Nacional,1
2026,Enero,No aplica,Matrimonio,Ordinaria,Inscripción,010508,010607,Amazonas,Rodríguez de Mendoza,Mariscal Benavides,Nacional,2
2026,Enero,No aplica,Matrimonio,Ordinaria,Inscripción,010701,010701,Amazonas,Utcubamba,Bagua Grande,Nacional,4
2026,Enero,No aplica,Matrimonio,Ordinaria,Inscripción,010702,010702,Amazonas,Utcubamba,Cajaruro,Nacional,7
2026,Enero,No aplica,Matrimonio,Ordinaria,Inscripción,010704,010704,Amazonas,Utcubamba,El Milagro,Nacional,2
2026,Enero,No aplica,Matrimonio,Ordinaria,Inscripción,010705,010705,Amazonas,Utcubamba,Jamalca,Nacional,1
2026,Enero,No aplica,Matrimonio,Ordinaria,Inscripción,010706,010706,Amazonas,Utcubamba,Lonya Grande,Nacional,2
2026,Enero,No aplica,Matrimonio,Ordinaria,Inscripción,020101,020101,Áncash,Huaraz,Huaraz,Nacional,1
2026,Enero,No aplica,Matrimonio,Ordinaria,Inscripción,020102,020105,Áncash,Huaraz,Independencia,Nacional,7
2026,Enero,No aplica,Matrimonio,Ordinaria,Inscripción,020108,020108,Áncash,Huaraz,Olleros,Nacional,2
2026,Enero,No aplica,Matrimonio,Ordinaria,Inscripción,020201,020201,Áncash,Aija,Aija,Nacional,1
2026,Enero,No aplica,Matrimonio,Ordinaria,Inscripción,020206,020204,Áncash,Aija,La Merced,Nacional,1
2026,Enero,No aplica,Matrimonio,Ordinaria,Inscripción,020301,020501,Áncash,Bolognesi,Chiquian,Nacional,2
2026,Enero,No aplica,Matrimonio,Ordinaria,Inscripción,020304,020504,Áncash,Bolognesi,Aquia,Nacional,1
2026,Enero,No aplica,Matrimonio,Ordinaria,Inscripción,020321,020503,Áncash,Bolognesi,Antonio Raymondi,Nacional,1
